sigma,pi_reward,alpha,delta,n_seeds,regime_majority,n_collapse,n_capture,n_mixed,n_quiet,median_fund_prevalence,median_exit_rate,median_top5_share,median_max_punish,median_enforcer_punish_share
0.25,0.5,0.6,0.4,5,MIXED,0,0,5,0,0.1278538812785388,0.4314285714285714,0.8125833703868386,0.1685714285714285,0.8730826769388312
0.75,0.05,0.6,0.4,5,MIXED,0,0,5,0,0.0932203389830508,0.3485714285714286,0.8331741483603948,0.14,0.9545920310227964
0.75,0.25,0.6,0.4,5,MIXED,0,0,5,0,0.1409090909090909,0.3628571428571429,0.7972109238814643,0.1657142857142857,0.9709628186729962
0.75,0.5,0.6,0.4,5,MIXED,0,0,5,0,0.1383928571428571,0.3485714285714286,0.7935846560846561,0.1685714285714285,0.9724310887082853
0.95,0.05,0.6,0.4,5,MIXED,0,0,5,0,0.0894941634241245,0.2657142857142857,0.7860700717602364,0.1285714285714285,0.9719475813377738
0.95,0.25,0.6,0.4,5,MIXED,0,0,5,0,0.1291666666666666,0.26,0.7614381869302207,0.1342857142857142,0.9717885665548364
0.95,0.5,0.6,0.4,5,MIXED,0,0,5,0,0.1310861423220973,0.2657142857142857,0.7690329218106996,0.1371428571428571,0.9731084928822538
0.25,0.05,0.6,0.6,5,QUIET,0,0,0,5,0.0,0.0514285714285714,0.6856649395509499,0.0485714285714285,0.7016054827525415
0.25,0.25,0.6,0.6,5,MIXED,0,0,5,0,0.1045454545454545,0.3714285714285714,0.8510183125106966,0.1285714285714285,0.9642040238812085
0.25,0.5,0.6,0.6,5,MIXED,0,0,5,0,0.119047619047619,0.4,0.8382027445772465,0.1685714285714285,0.9536978138484948
0.75,0.05,0.6,0.6,5,MIXED,0,0,5,0,0.0897959183673469,0.3,0.8324281778827234,0.1457142857142857,0.9727147754041154
0.75,0.25,0.6,0.6,5,MIXED,0,0,5,0,0.1266375545851528,0.3257142857142857,0.7786630654962863,0.1714285714285714,0.9744198182640107
0.75,0.5,0.6,0.6,5,MIXED,0,0,5,0,0.1322314049586777,0.3085714285714285,0.7799721483732118,0.1714285714285714,0.9753270892729609
0.95,0.05,0.6,0.6,5,MIXED,0,0,5,0,0.0874524714828897,0.2485714285714285,0.8203303684879288,0.1314285714285714,0.9802092851746483
0.95,0.25,0.6,0.6,5,MIXED,0,0,5,0,0.1236363636363636,0.2542857142857143,0.7455898911547604,0.1457142857142857,0.977618937911399
0.95,0.5,0.6,0.6,5,MIXED,0,1,4,0,0.1240601503759398,0.24,0.7496898870536006,0.1428571428571428,0.9766430575459344
